"Book_ID","Binding","Grade"
4373198754,unknown binding,
4374181139,hardcover,fine / like new
4378991017,hardcover,good
4388811546,paperback,fine / like new
4403519080,hardcover,good
4425316690,hardcover,fine / like new
4435096316,hardcover,new
4438839358,unknown binding,fine / like new
4438854577,unknown binding,fine / like new
4438854578,unknown binding,fine / like new
4438884272,unknown binding,fine / like new
4438884273,unknown binding,fine / like new
4438884571,unknown binding,fine / like new
4438884572,unknown binding,good
4438884573,unknown binding,fine / like new
4438884574,unknown binding,fine / like new
4438884576,unknown binding,fine / like new
4439321814,paperback,good
4448639878,magazine,fine / like new
4467401805,hardcover,fine / like new
4509639548,unknown binding,good
4514284558,hardcover,fine / like new
4554975104,paperback,good
4567263236,paperback,fine / like new
4569840189,soft cover,near fine
4576208257,paperback,fine / like new
4584148713,paperback,good
4615052891,hardcover,fine / like new
4616688787,paperback,good
4641067196,,fine / like new
4666573473,paperback,fine / like new
4695783262,hardcover,good
4701970985,paperback,good
4720968582,cloth / hardboard,
4724713287,,
4749795714,hardcover,good
4749812165,hardcover,poor
4763916831,paperback,fine / like new
4763916832,paperback,fine / like new
4785261960,,
4792327496,unknown binding,
4800293611,paperback,fine / like new
4805197435,paperback,fair
4818056145,magazine,good
4818056153,magazine,fine / like new
4818056178,magazine,fair
4824511525,magazine,fair
4838701192,hardcover,new
4880340257,paperback,fine / like new
4914325028,soft cover,fine / like new
4921229909,soft cover,good
4956504932,soft cover,near fine
4974553488,soft cover,new
4991810375,unknown binding,good
5011564050,soft cover,fine / like new
5064367115,paperback,fine / like new
5064367117,paperback,fine / like new
5064367118,paperback,fine / like new
5076863241,paperback,fine / like new
5076863242,paperback,fine / like new
5161354242,,fine / like new
5192727387,soft cover,new
5228371536,magazine,fine / like new
5233089685,cloth / hardboard,fine / like new
5239560997,,
5269592818,hardcover,fine / like new
5290740989,hardcover,near fine
5323396518,,good
5334849969,soft cover,near fine
5334849970,soft cover,fine / like new
5338005399,paperback,fine / like new
5370188045,paperback,fine / like new
5375656622,magazine,fine / like new
5428788399,soft cover,
5434713188,paperback,near fine
5434713189,paperback,fine / like new
5434713197,paperback,fine / like new
5434713202,paperback,fine / like new
5467319714,paperback,fair
5467321453,paperback,fine / like new
5467323009,paperback,good
5467323428,paperback,good
5467327675,paperback,good
5467327846,paperback,good
5467328155,paperback,good
5467333100,paperback,good
5467347098,paperback,fair
5467358866,paperback,good
5467365175,paperback,good
5467367405,paperback,good
5467383631,paperback,good
5467385188,hardcover,good
5467385189,hardcover,fine / like new
5467386917,paperback,fair
5467409062,paperback,fair
5467418592,paperback,good
5467419940,paperback,good
5467437113,paperback,good
5467441452,paperback,fair
5467442033,paperback,good
5467442034,paperback,good
5472013939,hardcover,
5482095359,paperback,good
5484830767,paperback,near fine
5484830768,paperback,near fine
5484830769,paperback,near fine
5484830778,paperback,fine / like new
5484830779,paperback,near fine
5484830786,paperback,near fine
5484849816,soft cover,
5496144692,paperback,good
5520433609,,
5526908200,cloth / hardboard,good
5537434218,paperback,fine / like new
5553529966,cloth / hardboard,fine / like new
5560785440,paperback,fine / like new
5609937940,paperback,good
5629019185,unknown binding,fine / like new
5629020004,paperback,fine / like new
5633282540,soft cover,good
5634516588,hardcover,
5635577810,hardcover,
5635585085,hardcover,
5642072649,paperback,good
5642072658,paperback,good
5642072660,paperback,good
5668269971,,
5694445511,paperback,fine / like new
5709075621,magazine,fine / like new
5709075622,magazine,fine / like new
5710512365,,
5711479575,paperback,fine / like new
5732284408,soft cover,
5749388234,hardcover,good
5758022986,unknown binding,good
5766052571,magazine,fine / like new
5772671629,cloth / hardboard,fine / like new
5809421567,unknown binding,good
5812643104,soft cover,good
5812643106,soft cover,good
