"Book_ID","Language"
9365849236,English
9367943396,English
9367943397,English
9390761869,English
9393539215,English
9393539240,English
9393539241,English
9393539242,English
9395166485,English
9405402910,English
9405403007,English
9446226872,English
9452713542,English
9452713543,English
9456737726,English
9474855253,English
9477585662,English
9477585836,English
9483911921,English
9485330598,English
9507693821,English
9513249004,English
9527162520,English
9530844869,English
9546697226,English
9548613080,English
9567169301,English
9580901994,English
9584620233,English
9628220865,English
9633256678,English
9673504602,English
9681990677,English
9684008603,English
9693326998,English
9695113377,English
9695135519,English
9728007112,English
9740283168,English
9742411001,English
9742411646,English
9742411899,English
9747476466,English
9787942533,English
9816204033,English
9822142693,English
9823256509,English
9841085387,English
9841085388,English
9863927080,English
9889725942,English
9897672801,English
9908712356,English
9924260495,English
9932081233,English
9955339887,English
9964118234,English
9964140678,English
9993658555,English
9994028217,English
10039534928,English
10042376518,English
10042376519,English
10042376520,English
10042376521,English
10042376522,English
10042376524,English
10042849469,English
10058538700,English
10063944739,English
10063965944,Spanish
10064331613,English
10075504740,English
10075525181,English
10075527785,English
10076655981,English
10087726122,English
10090222862,English
10107167383,English
10107176741,English
10138139589,English
10141179516,English
10143453335,English
10154507800,English
10158638821,English
10171658179,English
10183513673,French
10187082688,English
10218614937,English
10236717920,English
10236871331,English
10242780695,English
10250909849,English
10253443391,English
10267353133,English
10280309706,English
10300781348,English
10300791684,English
10301020323,English
10325345522,English
10335068515,English
10345263742,English
10345263743,English
10345268137,English
10390215385,English
10404769003,English
10404769007,English
10405085600,English
10431595775,English
10436241196,English
10448242450,English
10456472936,English
10478141486,English
10523271123,English
10523272031,English
10523282903,English
10523283000,English
10523593645,English
10529261714,English
10535765908,English
10567424370,English
10593569298,English
10606034330,English
10626139962,Spanish
10634213556,English
10634213567,English
10652834828,English
10665755109,English
10665755112,English
10746846404,English
10746848473,English
10768942320,English
10768942341,English
10768942349,English
10809012555,English
10813637803,English
10816408599,English
10822581334,English
10824574563,English
10843213189,English
10855926950,English
10880700868,English
10888942498,English
10888942506,English
10888942515,English
10901594942,English
10907754002,English
10910765410,English
10921141556,English
10939742892,English
10953754268,English
10958554306,English
10977316197,English
10981744050,English
10990527575,English
10997521734,English
11027458707,English
11028134293,English
11028834911,English
11043698610,English
11052011684,English
11077503180,English
11083519702,English
11083519703,English
11115082548,English
11120462406,English
11120462407,English
11120462409,English
11120462416,English
11120462429,English
11120462430,English
11120462431,English
11120466016,English
11120467007,English
11144279544,English
11157759558,English
11221316657,English
11230005921,English
11253297025,English
11254999557,English
11307797148,English
11315323276,English
11327648349,Spanish
11367319956,English
11380859023,English
11380859030,English
11380859032,English
11410712357,English
11410712382,English
11410712384,English
11410712425,English
11456485306,English
11484784088,English
11488336857,English
11488336858,English
11488337062,English
11493984439,English
11520533421,English
11522952105,English
11522976400,English
11563834152,English
11586565254,English
11615276270,English
11627945647,English
11653165607,English
11661053834,English
11663129913,English
11665918956,English
11665918957,English
11665918958,English
11672098347,English
11682962422,English
11685944861,English
11690205091,English
11701122465,English
11740198847,English
11792801576,English
11793082184,English
11800510178,English
11800510215,English
11800510220,English
11801079367,English
11868532365,English
11883869079,English
11886995937,English
11899403580,English
11904072391,English
11904644829,English
11910834803,English
11911277529,English
11913960688,English
11921901893,English
11924291735,English
11951132699,English
11951847531,English
11954346186,English
11966703224,English
11990825414,English
12005541472,English
12009737882,English
12009742548,English
12026115124,English
12028003060,English
12032400284,English
12056998540,Spanish
12059030439,English
12059031751,English
12070838690,English
12092967911,Danish
12102352082,English
12108012226,English
12115149051,English
12140374978,English
12154872863,English
12163949945,English
12163950273,English
12171562711,English
12171649760,English
12173120453,English
12177372178,English
12195060321,English
12196100323,English
12196100324,English
12207244151,English
12212013962,English
12220754483,English
12220754484,English
12220754485,English
12256569371,English
12266457281,English
12286806950,English
12287356064,English
12291014119,English
12291014127,English
12298373925,English
12298373926,English
12310387281,English
12315963316,English
12340604982,English
12340604983,English
12341622240,English
12354868477,English
12383527605,English
12392232895,English
12416896368,English
12418749100,English
12419968416,English
12444996774,English
12452887563,English
12452887565,English
12453336010,English
12475371461,English
12481311765,English
12481311788,English
12481311791,English
12481311843,English
12491236640,English
12526351453,English
12529526237,English
12536331687,English
12553489689,English
12566117193,English
12569960633,English
12582942133,English
12582942135,English
12595774315,English
12595774363,English
12606323896,English
12606323898,English
12606323899,English
12612746561,English
12613821190,English
12613821192,English
12635135935,English
12702053365,English
12714949940,English
12719851029,English
12735737966,English
12736460230,English
12736461195,English
12736795864,English
12743918822,English
12745894621,English
12754087774,English
12754088828,English
12755838430,English
12755838436,English
12764803290,English
12791164471,English
12793500988,English
12799998270,English
12815278090,English
12831397379,English
12831399400,English
12868601020,English
12873660650,English
12883870881,English
12893200758,English
12901433666,English
12901440996,English
12906128965,English
12917532164,English
12917532165,English
12923692646,English
12923702541,English
12923704447,English
12923709053,English
12923712092,English
12923717633,English
12923727060,English
12989079999,English
12996200610,English
13008746976,English
13014231138,English
13031945742,English
13032319533,English
13036750433,English
13061662313,English
13086447238,English
13096412962,English
13133944231,English
13143754361,English
13172265188,English
13175978449,English
13181956628,English
13190935085,English
13192340019,English
13200110455,English
13242169681,English
13242169837,English
13242169842,English
13242170019,English
13242170488,English
13242171056,English
13242171310,English
13242173129,English
13242174940,English
13245416150,English
13248389619,English
13249478451,English
13253717157,English
13262589659,English
13274244915,English
13281626940,English
13281627693,English
13324372226,English
13340361783,English
13367849320,English
13395770849,English
13409407147,English
13473864964,English
13474878595,English
13476084502,English
13489101832,English
13489110128,English
13489136959,English
13518434237,English
13552516044,English
13568994103,English
13568994105,English
13586814399,English
13651918145,English
13686906972,English
13742998327,English
13751853373,English
13761174398,English
13775122406,English
13813532610,English
13848088954,English
13903476720,English
13911965627,English
13934137750,English
13937464456,English
13942629986,English
13972437147,English
13975773140,English
13987953261,English
14013189916,English
14026679050,English
14043565955,English
14050668918,English
14077375656,English
14081124502,English
14084146570,English
14094264197,English
14116194511,English
14121360514,English
14123108877,English
14137871338,English
14183164195,English
14226246530,English
14243851375,English
14262942574,English
14280577405,English
14282326713,English
14305289192,English
14312204243,English
14312204249,English
14325938374,English
14331290079,English
14332901695,English
14333142341,English
14345160123,English
14359555312,English
14369880067,English
14387395892,English
14407574212,English
14407574795,English
14417685998,English
14417687896,English
14419401526,English
14434026897,German
14444081497,English
14461303775,English
14461304751,English
14461306502,English
14461309865,English
14461310230,English
14461312619,English
14461313120,English
14461313830,English
14461320739,English
14461321723,English
14461325310,English
14461326115,English
14486506638,English
14528449821,English
14560350016,English
14604789313,English
14624563746,English
14643101093,English
14680716711,English
14680716712,English
14689267247,English
14721236045,English
14760079735,English
14774647323,English
14777216440,English
14781986165,English
14781986290,English
14781986504,English
14781986565,English
14781987053,English
14781987783,English
14781988251,English
14781989509,English
14781989516,English
14781990291,English
14781990690,English
14781991204,English
14781991503,English
14781997134,English
14781998780,English
14781999094,English
14781999769,English
14782000809,English
14782000941,English
14782003162,English
14782003164,English
14782003166,English
14782010790,English
14813853276,English
14831130684,English
14831130723,English
14833218358,Spanish
14864826507,English
14871608603,English
14871608608,English
14875257550,English
14880271591,Spanish
14883183388,English
14883183389,English
14883183390,English
14883183391,English
14883183609,English
14883183611,English
14883183612,English
14883183613,English
