"Name","Number_of_Books"
J. B. Hawker,1
J. F. Bone,4
J. G. Ballard,2
J. G. Ballard Robert A. Heinlein,1
J. G. Milne Margaret Alice Murray,1
J. L. Christiansen,1
J. R. R Tolkien,4
J. R. R. Tolkien,20
J. T. Mcintosh,2
J. T. Mcintosh Stanley G. Weinbaum,2
J.C. Christensen,1
J.R. R Tolkien,2
J.T. Mcintosh,1
Jack,2
Jack Dann L Sprague Decamp,1
Jack O'Sullivan,2
Jack Vance,34
Jack Williamson,1
Jack Williamson Robert A. Heinlein,2
Jacob C. Solovay,2
James Atlee Phillips,1
James Branch / Lin Carter Cabell,1
James Branch Cabell,4
James Gelsey,1
James Gilbert R. Jackson Wilson,3
James H. Schmitz,3
James Henry Gray,3
James J.,1
James Joyce,2
James Maccreigh,1
James Nagel Henry S. Villard,1
James Reeves,2
Jane,6
Jane Austen,420
Jane Austen Jane Austen,1
Jane Jackman,1
Jane Langton,2
Jane Yolen,2
Jane] Hodge [Austen,2
Janet Stevenson,1
Jean Mark Gawron,1
Jeanette Mccarty,1
Jeanette Windle,1
Jeff Rovin,1
Jeff Vandermeer,1
Jim Hendryx,2
Jim Razzi,9
Joan Aiken,1
Joan D. Vinge,1
Joan Scott,1
Joel Jenkins,2
John,2
John / Carter Baxter,1
John / Carter Brunner,2
John / Carter Rackham,1
John / Lin Carter Brunner,1
John A. Keel,10
John Baxter,2
John Blackader,1
John Brunner,15
John Brunner Lester Del Rey,1
John Bunyan,1
John C. Peters Ph.D. James O. Hill Ph.D.,7
John Crichton,1
John D Macdonald,3
John Donne,1
John F. Kennedy Anne Morrow Lindbergh,2
John Green Edgar Rice Burroughs,2
John H. Howard,1
John Jakes,1
John Keats,3
John Keel,2
John Kennett,5
John Mandeville,19
John Patrick Crichton,1
John Polidori,1
John R. Lawn,1
John Rankine,2
John Soane'S Museum E. A. Wallis Budge,1
John Soane'S Museum Ernest Alfred Wallis Budge,1
John W. Moore,13
John Wayne,1
John William Polidori,9
John Wilstach,1
John/ Lin. Baxter/Carter,1
John/Carter Baxter,1
John/Carter Brunner,1
John/Lin. Baxter/Carter,1
Johnathan / Aitken George Swift,1
Johnathan Swift,19
Johnston Mccully,1
Jon Longhi,1
Jonathan Lapoma,1
Jorgen / Andersen Larsen,1
Josef. Albers,1
Joseph Campbell,26
Joseph R. Weintraub James M. Hunt,3
Joseph W. Ferman,1
Joseph). Bulfinch Papin,7
Josephine Clifford Mccrackin,1
Josephine. Ransom,1
Journal. Joseph Rodman Manch,1
Joy Browne M.D.,1
Joy Chant,6
Joyce Carol Oates,2
Jr With Stories By Richard Matheson Edited By Sam Merwin,2
Jr. Hendryx,1
Jr. Walter M. Miller,2
Jr. With Stories By Ray Bradbury Edited By Sam Merwin,1
Jude Fisher,1
Judith Conaway,2
Judith Conaway Arthur Conan Doyle,2
Judith Merril,1
Jules Supervielle Collectif,1
Jules Verne,24
Julian May Marion Zimmer Bradley,1
Karen Haber,1
Karen P. Hall,1
Kate Wilhelm,1
Katharine Hillard Helena Petrovna Blavatsky,2
Katherine Augusta Westcott Tingley Helena Petrovna Blavatsky,1
Katherine Mansfield Arthur Conan Doyle,1
Kathleen C Thompson,1
Kathleen Weidner Zoehfeld,1
Keith / Poul Andersen / Frank Herbert / Gordon Dicksom / Harlan Ellison Laumer,1
Keith Laumer,4
Kelly Jones Arthur Conan Doyle,4
Klefbeck. Victor B.,1
Kriss Stephens,1
Kurt Singer,1
L,1
L Sprague De Camp,4
L Sprague Decamp,1
L. L. Woods,1
L. Ron Hubbard,1
L. Sprague De Camp,35
L. Sprague De Camp Robert E Howard,1
L. Sprague De Camp Robert E. Howard,6
L. Sprague De Camp. Lin Carter Robert E. Howard,1
L. Sprague Decamp,9
L. Sprague de Camp,3
L.L.D Clement C. Moore,1
L.Sprague De Camp,2
L.Sprague De Camp Robert E. Howard,1
La Mort Dans Les Nuages Agatha Christie,1
La Troisième Fille Agatha Christie,1
La Voix De Skaith Brackett Leigh,1
Larry Niven,8
Lars Bo,3
Laura Engel,1
Laurence Binyon,1
Laurence M Janifer,2
Laurence Olivier,1
Le Chat,1
Le Fanu,1
Le Lotus Bleu,2
Leah Bodine Drake,1
Leiber Fritz,1
Leigh,1
Leigh . Brackett,1
Leigh / Robert Moore Williams Brackett,2
Leigh / Robert Silerberg Brackett,1
Leigh / Robert Silverberg Brackett,1
Leigh / Silverberg Brackett,1
Leigh / Wallis Brackett,2
Leigh / Williams Brackett,2
